municipio_id,uf_codigo,periodo_censo,periodo_corrente,rdpc_censo_municipio_reais_mes,rdpc_censo_uf_reais_mes,rdpc_pnad_uf_reais_mes,populacao_estimada_pessoas,rdpc_est_reais_mes,massa_renda_reais_mes
1503507,15,2022,2025,616.62,994.0,1472.0,32740.0,913.1435010060362,29896318.222937625
1503606,15,2022,2025,1074.37,994.0,1472.0,135369.0,1591.0187525150902,215374617.50921524
1503705,15,2022,2025,636.27,994.0,1472.0,52201.0,942.2428973843057,49186021.48635814
1503754,15,2022,2025,787.87,994.0,1472.0,26579.0,1166.745110663984,31010918.29633803
1503804,15,2022,2025,905.18,994.0,1472.0,37726.0,1340.4677665995976,50570486.96273642
1503903,15,2022,2025,713.05,994.0,1472.0,54255.0,1055.9452716297787,57290310.71227364
1504000,15,2022,2025,463.89,994.0,1472.0,32088.0,686.9678873239437,22043425.568450708
1504059,15,2022,2025,786.61,994.0,1472.0,37473.0,1164.8791951710261,43651518.08064386
1504109,15,2022,2025,619.04,994.0,1472.0,8439.0,916.7272434607645,7736261.207565391
1504208,15,2022,2025,1137.5,994.0,1472.0,290975.0,1684.507042253521,490149436.61971825
1504307,15,2022,2025,634.79,994.0,1472.0,27129.0,940.0511871227365,25502648.655452717
1504406,15,2022,2025,576.69,994.0,1472.0,28159.0,854.0117505030182,24048116.88241449
1504422,15,2022,2025,883.71,994.0,1472.0,119437.0,1308.6731589537223,156303996.08595574
1504455,15,2022,2025,763.1,994.0,1472.0,28677.0,1130.0635814889338,32406833.326358154
1504505,15,2022,2025,476.85,994.0,1472.0,30080.0,706.1601609657948,21241297.64185111
1504604,15,2022,2025,694.48,994.0,1472.0,28903.0,1028.44523138833,29725152.522816904
1504703,15,2022,2025,626.33,994.0,1472.0,91760.0,927.5228973843059,85109501.06398392
1504752,15,2022,2025,705.92,994.0,1472.0,25818.0,1045.3865593561368,26989790.18945674
1504802,15,2022,2025,687.01,994.0,1472.0,64002.0,1017.3830181086519,65114547.92498994
1504901,15,2022,2025,505.26,994.0,1472.0,49648.0,748.2321126760563,37148227.930140845
1504950,15,2022,2025,535.3,994.0,1472.0,21304.0,792.717907444668,16888062.300201207
1504976,15,2022,2025,824.87,994.0,1472.0,14400.0,1221.5378672032193,17590145.287726358
1505007,15,2022,2025,709.95,994.0,1472.0,13175.0,1051.354527162978,13851595.895372234
1505031,15,2022,2025,1274.42,994.0,1472.0,37054.0,1887.2698591549297,69930897.36112677
1505064,15,2022,2025,721.31,994.0,1472.0,63796.0,1068.177384305835,68145444.40917505
1505106,15,2022,2025,652.59,994.0,1472.0,55527.0,966.4109456740443,53661900.58044266
1505205,15,2022,2025,460.54,994.0,1472.0,36734.0,682.0069215291751,25052842.25545272
1505304,15,2022,2025,727.72,994.0,1472.0,72889.0,1077.6698591549296,78550278.36394367
1505403,15,2022,2025,694.89,994.0,1472.0,18783.0,1029.0523943661972,19328691.12338028
1505437,15,2022,2025,935.72,994.0,1472.0,35252.0,1385.694004024145,48848485.029859155
1505486,15,2022,2025,689.59,994.0,1472.0,43741.0,1021.2037022132797,44668471.13851107
1505494,15,2022,2025,856.12,994.0,1472.0,7063.0,1267.8155331991952,8954581.110985916
1505502,15,2022,2025,992.06,994.0,1472.0,113498.0,1469.1270824949697,166742985.60901406
1505536,15,2022,2025,1321.92,994.0,1472.0,305771.0,1957.611911468813,598580951.7817304
1505551,15,2022,2025,882.09,994.0,1472.0,7354.0,1306.274124748491,9606339.913400402
1505601,15,2022,2025,756.62,994.0,1472.0,8686.0,1120.467444668008,9732380.224386318
1505635,15,2022,2025,864.32,994.0,1472.0,13366.0,1279.9587927565392,17107929.223983902
1505650,15,2022,2025,793.04,994.0,1472.0,18510.0,1174.401287726358,21738167.83581489
1505700,15,2022,2025,574.17,994.0,1472.0,25736.0,850.2799195171026,21882804.008692153
1505809,15,2022,2025,508.31,994.0,1472.0,67580.0,752.7488128772636,50870764.77424548
1505908,15,2022,2025,484.97,994.0,1472.0,44121.0,718.1849496981891,31687038.1656338
1506005,15,2022,2025,451.71,994.0,1472.0,38733.0,668.9307042253521,25909692.96676056
1506104,15,2022,2025,716.9,994.0,1472.0,11379.0,1061.6466800804828,12080477.572635815
1506112,15,2022,2025,649.32,994.0,1472.0,11838.0,961.5684507042255,11383047.31943662
1506138,15,2022,2025,1295.2,994.0,1472.0,92694.0,1918.0426559356138,177791045.9492958
1506161,15,2022,2025,1039.0,994.0,1472.0,19190.0,1538.6398390342051,29526498.511066396
1506187,15,2022,2025,946.14,994.0,1472.0,57031.0,1401.124828973843,79907550.12120724
1506195,15,2022,2025,731.95,994.0,1472.0,37198.0,1083.934004024145,40320177.08169015
1506203,15,2022,2025,875.11,994.0,1472.0,48663.0,1295.9375452716297,63064208.76555332
1506302,15,2022,2025,723.4,994.0,1472.0,25687.0,1071.272434607646,27517775.0277666
1506351,15,2022,2025,762.45,994.0,1472.0,22530.0,1129.1010060362173,25438645.665995978
1506401,15,2022,2025,520.36,994.0,1472.0,7626.0,770.5934808853119,5876545.885231389
1506500,15,2022,2025,914.02,994.0,1472.0,79195.0,1353.558792756539,107195088.59235412
1506559,15,2022,2025,685.08,994.0,1472.0,21295.0,1014.5249094567406,21604307.94688129
1506583,15,2022,2025,1175.42,994.0,1472.0,17065.0,1740.662213279678,29704400.669617705
1506609,15,2022,2025,793.59,994.0,1472.0,25815.0,1175.2157746478874,30338195.222535215
